corrupted file!
s5p_l2_ch4_0017_04371.nc 2018-08-17 12:45:10
s5p_l2_ch4_0017_04372.nc 2018-08-17 14:26:39
s5p_l2_ch4_0017_04384.nc 2018-08-18 10:44:34
s5p_l2_ch4_0017_04385.nc 2018-08-18 12:26:03
s5p_l2_ch4_0017_04386.nc 2018-08-18 14:07:33
s5p_l2_ch4_0017_04398.nc 2018-08-19 10:25:27
s5p_l2_ch4_0017_04399.nc 2018-08-19 12:06:57
s5p_l2_ch4_0017_04400.nc 2018-08-19 13:48:26
s5p_l2_ch4_0017_04412.nc 2018-08-20 10:06:20
s5p_l2_ch4_0017_04413.nc 2018-08-20 11:47:50
s5p_l2_ch4_0017_04414.nc 2018-08-20 13:29:19
s5p_l2_ch4_0017_04427.nc 2018-08-21 11:28:43
s5p_l2_ch4_0017_04428.nc 2018-08-21 13:10:13
s5p_l2_ch4_0017_04429.nc 2018-08-21 14:51:42
s5p_l2_ch4_0017_04441.nc 2018-08-22 11:09:36
s5p_l2_ch4_0017_04442.nc 2018-08-22 12:51:06
s5p_l2_ch4_0017_04443.nc 2018-08-22 14:32:35
s5p_l2_ch4_0017_04455.nc 2018-08-23 10:50:29
s5p_l2_ch4_0017_04456.nc 2018-08-23 12:31:59
s5p_l2_ch4_0017_04457.nc 2018-08-23 14:13:28
s5p_l2_ch4_0017_04469.nc 2018-08-24 10:31:22
s5p_l2_ch4_0017_04470.nc 2018-08-24 12:12:52
s5p_l2_ch4_0017_04471.nc 2018-08-24 13:54:21
s5p_l2_ch4_0017_04483.nc 2018-08-25 10:06:09
s5p_l2_ch4_0017_04484.nc 2018-08-25 11:53:45
s5p_l2_ch4_0017_04485.nc 2018-08-25 13:35:14
s5p_l2_ch4_0017_04498.nc 2018-08-26 11:28:31
s5p_l2_ch4_0017_04499.nc 2018-08-26 13:16:07
s5p_l2_ch4_0017_04512.nc 2018-08-27 11:15:31
s5p_l2_ch4_0017_04513.nc 2018-08-27 12:50:53
s5p_l2_ch4_0017_04526.nc 2018-08-28 10:56:24
s5p_l2_ch4_0017_04527.nc 2018-08-28 12:37:53
s5p_l2_ch4_0017_04528.nc 2018-08-28 14:13:15
s5p_l2_ch4_0017_04540.nc 2018-08-29 10:37:16
s5p_l2_ch4_0017_04541.nc 2018-08-29 12:18:45
s5p_l2_ch4_0017_04542.nc 2018-08-29 14:00:15
s5p_l2_ch4_0017_04554.nc 2018-08-30 10:18:09
